c1,c2,c3,c4
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
0,0,1,1
0,0,1,1
1,1,0,0
1,1,0,0
